epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.68329,2.3994,4.02441,2.10151,0.00992,1,0.1606,0.06771,1.13904,3.46942,0.63541,7.854e-05,7.854e-05,7.854e-05
2,9.00466,1.68801,4.00559,1.69995,0.02041,1,0.18558,0.15486,0.57925,3.41806,0.31823,0.000163136,0.000163136,0.000163136
3,13.1581,1.23792,3.85809,1.4544,0.01804,1,0.17151,0.14353,0.5948,3.39203,0.26024,0.000246601,0.000246601,0.000246601
4,17.4275,1.08814,3.67741,1.3349,0.01363,1,0.23021,0.20657,0.54424,3.28454,0.26146,0.000328936,0.000328936,0.000328936
5,21.6547,0.97598,3.42885,1.24884,0.01328,1,0.26695,0.24593,0.49669,3.10699,0.28684,0.000410139,0.000410139,0.000410139
6,25.8197,0.94228,3.29658,1.234,0.55225,0.33025,0.2421,0.20802,0.63191,3.06724,0.37323,0.000490211,0.000490211,0.000490211
7,29.9846,0.93478,3.13643,1.22649,0.72517,0.24167,0.34404,0.26913,0.88103,2.78772,0.54535,0.000569152,0.000569152,0.000569152
8,34.7535,0.90304,2.94213,1.18841,0.70052,0.475,0.45255,0.37585,0.80367,2.62467,0.61513,0.000646963,0.000646963,0.000646963
9,39.6863,0.86141,2.82541,1.15599,0.64125,0.38327,0.56198,0.44803,0.73371,2.17303,0.44809,0.000676301,0.000676301,0.000676301
10,44.3553,0.8361,2.55875,1.14568,0.5626,0.64167,0.63965,0.52281,0.7187,2.44492,0.43645,0.000671588,0.000671588,0.000671588
11,49.1101,0.81847,2.47766,1.15477,0.34666,0.66831,0.51775,0.44138,0.6828,2.32811,0.46604,0.000666876,0.000666876,0.000666876
12,54.1816,0.88846,2.4214,1.1816,0.32149,0.64962,0.48976,0.40033,0.82645,2.03357,0.6805,0.000662164,0.000662164,0.000662164
13,59.2881,0.76396,2.23419,1.13125,0.2748,0.78309,0.57571,0.46593,0.67456,2.87885,0.99469,0.000657451,0.000657451,0.000657451
14,64.3541,0.75748,2.0817,1.13051,0.73299,0.48532,0.59403,0.48991,0.6328,2.34935,1.14432,0.000652739,0.000652739,0.000652739
15,69.5926,0.7342,2.02338,1.1163,0.61837,0.48836,0.61676,0.48312,0.65475,2.41213,1.06649,0.000648026,0.000648026,0.000648026
16,75.2225,0.7319,2.04106,1.11389,0.67518,0.6184,0.69805,0.653,0.48755,2.1424,1.10946,0.000643314,0.000643314,0.000643314
17,79.9627,0.68999,1.9605,1.11594,0.52966,0.6477,0.67897,0.60834,0.54115,2.11551,1.09306,0.000638602,0.000638602,0.000638602
18,84.6952,0.70161,1.84884,1.11908,0.50455,0.73955,0.65456,0.62089,0.41997,1.93256,1.10349,0.000633889,0.000633889,0.000633889
19,89.5264,0.67246,1.7549,1.1192,0.59849,0.60869,0.69031,0.65982,0.37098,2.3873,1.06052,0.000629177,0.000629177,0.000629177
20,94.3298,0.6081,1.7513,1.08425,0.60529,0.65827,0.75885,0.62635,0.79519,1.79244,1.1869,0.000624464,0.000624464,0.000624464
21,99.2365,0.56575,1.63314,1.05581,0.72661,0.56112,0.78149,0.63648,0.82123,1.7432,1.0769,0.000619752,0.000619752,0.000619752
22,104.053,0.56613,1.57693,1.04591,0.84614,0.53027,0.75756,0.72666,0.46602,1.71645,1.00646,0.00061504,0.00061504,0.00061504
23,108.865,0.52735,1.54101,1.03188,0.83731,0.4253,0.68836,0.64019,0.45276,1.78027,1.07362,0.000610327,0.000610327,0.000610327
24,113.777,0.49757,1.46084,1.00883,0.66595,0.66086,0.82095,0.71994,0.61366,1.73047,0.83391,0.000605615,0.000605615,0.000605615
25,118.712,0.53082,1.46843,1.03589,0.68915,0.70347,0.83387,0.70562,0.54863,1.56187,0.66905,0.000600902,0.000600902,0.000600902
26,123.701,0.5094,1.38803,1.02212,0.75981,0.69729,0.89331,0.77735,0.59108,1.36893,0.63581,0.00059619,0.00059619,0.00059619
27,128.981,0.47371,1.38155,1.00926,0.79264,0.85723,0.95805,0.83303,0.51722,1.19189,0.66067,0.000591478,0.000591478,0.000591478
28,133.887,0.46495,1.34463,1.00166,0.72616,0.86667,0.90396,0.8099,0.5876,1.09224,0.74286,0.000586765,0.000586765,0.000586765
29,139.054,0.45804,1.32182,0.99171,0.80633,0.88222,0.91361,0.8271,0.51957,1.05531,0.82515,0.000582053,0.000582053,0.000582053
30,144.14,0.41929,1.3757,0.97983,0.66721,0.73794,0.92385,0.87231,0.43992,1.34719,0.90967,0.00057734,0.00057734,0.00057734
